title,adult,genres,original_language,popularity,release_date,runtime,vote_count,actors,director,keywords,rounded_averages,num_genres,main_genre,num_actors,main_actor,release_year,log_vote_count,log_popularity,log_runtime
Thinking XXX,False,['Documentary'],en,24.03,2004-10-27,58.0,97.0,"['Jenna Jameson', 'Ron Jeremy', 'Tera Patrick', 'Belladonna']",Unknown,"['pornography', 'interview', 'photo shoot', 'voyeur']",5.5,0.0,,0.0,,2004,4.584967478670572,3.2200751054436827,4.07753744390572
Mom's Got a Date with a Vampire,False,"['TV Movie', 'Comedy', 'Family', 'Fantasy', 'Horror']",en,18.292,2000-10-13,85.0,112.0,"['Caroline Rhea', 'Charles Shaughnessy', ""Matt O'Leary"", 'Laura Vandervoort']",Unknown,"['date', 'vampire']",5.7,0.0,,0.0,,2000,4.727387818712341,2.9596905022067257,4.454347296253507
One Way,False,"['Action', 'Crime', 'Thriller']",en,15.498,2022-09-02,96.0,118.0,"['Machine Gun Kelly', 'Storm Reid', 'Drea de Matteo', 'Travis Fimmel']",Unknown,[],6.0,0.0,,0.0,,2022,4.77912349311153,2.80323916143854,4.574710978503383
Meet the Parents,False,"['Comedy', 'Romance']",en,25.064,2000-10-06,108.0,5639.0,"['Ben Stiller', 'Robert De Niro', 'Teri Polo', 'Blythe Danner']",Unknown,"['daughter', 'cia', 'airplane', 'airport', 'nurse', 'cat', 'orderly', 'father-in-law', 'epistaxis', 'lost baggage', 'urn', 'pavilion', 'volleyball', 'hospital', 'wedding']",6.7,0.0,,0.0,,2000,8.637639344492104,3.2605550518596895,4.6913478822291435
The Phantom of the Open,False,"['Drama', 'Comedy']",en,13.819,2022-03-18,102.0,92.0,"['Mark Rylance', 'Sally Hawkins', 'Rhys Ifans', 'Simon Farnaby']",Unknown,"['underdog', 'northern england', 'based on novel or book', 'sports', '1970s', 'golf', 'biography', 'based on true story', 'twins', 'shipyard', 'local legend', 'cumbria', 'barrow-in-furness']",6.8,0.0,,0.0,,2022,4.532599493153256,2.6959101412080413,4.634728988229636
Lost Bullet 2,False,"['Action', 'Crime', 'Thriller']",fr,16.938,2022-11-10,98.0,333.0,"['Alban Lenoir', 'Stéfi Celma', 'Pascale Arbillot', 'Sébastien Lalanne']",Unknown,"['corruption', 'sequel']",6.5,0.0,,0.0,,2022,5.811140992976701,2.886921367695811,4.59511985013459
Hellhole,False,['Horror'],pl,13.114,2022-10-26,90.0,262.0,"['Piotr Żurawski', 'Olaf Lubaszenko', 'Sebastian Stankiewicz', 'Lech Dyblik']",Unknown,"['monk', 'investigation', 'possession', 'monastery']",6.1,0.0,,0.0,,2022,5.572154032177765,2.6471672125786387,4.51085950651685
Halloween,False,"['Horror', 'Thriller']",en,53.01,2018-10-18,106.0,4459.0,"['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'Will Patton']",Unknown,"['post-traumatic stress disorder (ptsd)', 'trauma', 'halloween', 'knife', 'illinois', 'sequel', 'murder', 'boogeyman', 'serial killer', 'slasher', 'murderer', 'escaped killer', 'holiday horror']",6.5,0.0,,0.0,,2018,8.40290404501411,3.9891692146047997,4.672828834461906
The Avengers,False,"['Science Fiction', 'Action', 'Adventure']",en,114.096,2012-04-25,143.0,29637.0,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']",Unknown,"['new york city', 'superhero', 'shield', 'based on comic', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']",7.7,0.0,,0.0,,2012,10.296812600750124,4.745766562734732,4.969813299576001
Prisoners,False,"['Drama', 'Thriller', 'Crime']",en,42.791,2013-09-19,153.0,11044.0,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Maria Bello']",Unknown,"['pennsylvania, usa', 'kidnapping', 'hostage', 'detective', 'maze', 'symbolism', 'investigation', 'beating', 'revenge', 'vigilante', 'rural area', 'crime scene', 'brutality', 'candlelight vigil', 'animal cruelty', 'neo-noir', 'child abduction']",8.1,0.0,,0.0,,2013,9.309733115854218,3.7794283168165506,5.0369526024136295
Race to Witch Mountain,False,"['Adventure', 'Family', 'Fantasy', 'Science Fiction', 'Thriller', 'Action']",en,20.022,2009-03-12,98.0,1623.0,"['Dwayne Johnson', 'AnnaSophia Robb', 'Alexander Ludwig', 'Carla Gugino']",Unknown,"['spacecraft', 'teleportation', 'mountain', 'laser', 'telekinesis', 'alien', 'super power', 'military', 'duringcreditsstinger']",5.8,0.0,,0.0,,2009,7.392647520721623,3.0455695084011625,4.59511985013459
Murder at Yellowstone City,False,"['Western', 'Mystery']",en,26.66,2022-06-24,126.0,59.0,"['Gabriel Byrne', 'Thomas Jane', 'Isaiah Mustafa', 'Anna Camp']",Unknown,[],5.5,0.0,,0.0,,2022,4.0943445622221,3.319987326236612,4.844187086458591
The Professionals,False,"['Western', 'Action', 'Adventure']",en,15.415,1966-11-01,117.0,275.0,"['Burt Lancaster', 'Lee Marvin', 'Robert Ryan', 'Woody Strode']",Unknown,"['rescue', 'plan', 'mexico', 'kidnapping', 'desert', 'mexican bandit', 'escape plan', 'bazat pe carte']",7.1,0.0,,0.0,,1966,5.62040086571715,2.798195550953556,4.770684624465665
Mesrine: Killer Instinct,False,"['Drama', 'Action', 'Thriller', 'Crime']",fr,17.76,2008-10-22,113.0,878.0,"['Vincent Cassel', 'Cécile de France', 'Gérard Depardieu', 'Gilles Lellouche']",Unknown,"['casino', 'france', 'based on novel or book', 'kidnapping', 'gangster', 'based on true story', 'montreal, canada', 'prison escape', 'murder', 'shootout', 'bank robbery', 'ex soldier', '1960s', 'algerian war (1954-62)']",7.3,0.0,,0.0,,2008,6.778784897685177,2.9317269435780786,4.736198448394496
The Sexologist,False,['Comedy'],es,21.561,2023-01-05,90.0,28.0,"['Flavia Dos Santos', 'Gerly Hassam', 'Pedro González']",Unknown,[],6.6,0.0,,0.0,,2023,3.367295829986474,3.116222751888614,4.51085950651685
How Much Do You Love Me?,False,"['Comedy', 'Drama']",fr,21.88,2005-10-26,95.0,161.0,"['Monica Bellucci', 'Bernard Campan', 'Gérard Depardieu', 'Jean-Pierre Darroussin']",Unknown,"['prostitute', 'relationship problems', 'sadomasochism', 'illegal prostitution', 'pigalle, paris', 'ex-husband ex-wife relationship']",5.9,0.0,,0.0,,2005,5.087596335232384,3.130263166511597,4.564348191467836
The Hangover,False,['Comedy'],en,77.352,2009-06-02,100.0,16152.0,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Justin Bartha']",Unknown,"['blackjack', 'stag night', 'lost weekend', 'chapel', 'hit with tire iron', 'memory loss', 'las vegas', 'drugs']",7.3,0.0,,0.0,,2009,9.689861069913759,4.361211494959962,4.61512051684126
Condor's Nest,False,"['Action', 'War']",en,63.269,2023-01-27,103.0,15.0,"['Michael Ironside', 'Arnold Vosloo', 'Jackson Rathbone', 'Jorge Garcia']",Unknown,[],5.7,0.0,,0.0,,2023,2.772588722239781,4.163077399903193,4.6443908991413725
The Fault in Our Stars,False,"['Romance', 'Drama']",en,34.122,2014-05-16,126.0,10791.0,"['Shailene Woodley', 'Ansel Elgort', 'Nat Wolff', 'Laura Dern']",Unknown,"['based on novel or book', 'support group', 'amsterdam, netherlands', 'cancer', ""valentine's day"", 'star crossed lovers', 'teen drama', 'oxygen tank', 'based on young adult novel']",7.6,0.0,,0.0,,2014,9.286560397887591,3.558827714753663,4.844187086458591
I Vitelloni,False,"['Comedy', 'Drama']",it,13.036,1953-09-17,103.0,635.0,"['Franco Interlenghi', 'Alberto Sordi', 'Franco Fabrizi', 'Leopoldo Trieste']",Unknown,"['friendship', 'pregnancy', 'ladykiller', 'black and white', 'neo realism', 'italian neo realism']",7.7,0.0,,0.0,,1953,6.455198563340122,2.6416254577209686,4.6443908991413725
Secretariat,False,['Drama'],en,20.908,2010-08-20,123.0,550.0,"['Diane Lane', 'John Malkovich', 'Scott Glenn', 'Dylan Walsh']",Unknown,"['horseback riding', 'horse race', 'biography']",7.4,0.0,,0.0,,2010,6.311734809152915,3.086851866921475,4.820281565605037
Oliver Twist,False,"['Crime', 'Drama', 'Family']",en,20.138,2005-09-23,130.0,1115.0,"['Barney Clark', 'Ben Kingsley', 'Jamie Foreman', 'Harry Eden']",Unknown,"['child abuse', 'london, england', 'street gang', 'based on novel or book', 'pickpocket', ""children's home"", 'runaway', 'child labour', 'orphanage', 'thief', 'child']",6.7,0.0,,0.0,,2005,7.017506142941256,3.0510723685871555,4.875197323201151
An Officer and a Spy,False,"['History', 'Drama', 'Thriller']",fr,14.44,2019-09-30,132.0,1427.0,"['Jean Dujardin', 'Louis Garrel', 'Emmanuelle Seigner', 'Grégory Gadebois']",Unknown,"['based on novel or book', 'espionage', 'military officer', 'spy', 'based on true story', 'trial', 'miscarriage of justice', '19th century', 'french army', 'antisemitism', 'belle epoque']",7.1,0.0,,0.0,,2019,7.2640301428995295,2.73696154459663,4.890349128221754
Hudson Hawk,False,"['Action', 'Adventure', 'Comedy']",en,20.971,1991-05-23,100.0,923.0,"['Bruce Willis', 'Danny Aiello', 'Andie MacDowell', 'James Coburn']",Unknown,"['rome, italy', 'gangster', 'vatican', 'blackmail', 'painting', 'leonardo da vinci', 'master thief', 'conspiracy']",5.7,0.0,,0.0,,1991,6.828712071641684,3.0897234019742332,4.61512051684126
The Lake House,False,"['Drama', 'Mystery', 'Romance']",en,20.594,2006-06-16,99.0,2586.0,"['Keanu Reeves', 'Sandra Bullock', 'Christopher Plummer', 'Ebon Moss-Bachrach']",Unknown,"['chicago, illinois', 'future', 'writing', 'architect', 'time travel', 'love letter', 'time', 'remake', 'architecture', 'mysterious letter', 'first kiss', 'passage of time', 'lake house']",7.0,0.0,,0.0,,2006,7.8582541821860294,3.0724154983249488,4.605170185988092
I Feel Pretty,False,"['Comedy', 'Romance']",en,18.499,2018-04-19,110.0,1966.0,"['Amy Schumer', 'Michelle Williams', 'Tom Hopper', 'Rory Scovel']",Unknown,"['confidence', 'delusion', 'head injury', 'cosmetics']",6.4,0.0,,0.0,,2018,7.584264818389059,2.9703631822034495,4.709530201312334
Hulk,False,"['Science Fiction', 'Adventure', 'Action']",en,38.875,2003-06-19,138.0,5490.0,"['Eric Bana', 'Jennifer Connelly', 'Sam Elliott', 'Josh Lucas']",Unknown,"['california', 'monster', 'general', 'mutation', 'san francisco, california', 'gun', 'superhero', 'dna', 'transformation', 'psychology', 'berkeley', 'based on comic', 'president', 'golden gate bridge', 'doctor', 'fear', 'scientist', 'dog', 'desert', 'anger', 'phone', 'military', 'super villain', 'cell', 'superhuman strength', 'repressed memory', 'repression', 'good versus evil']",5.5,0.0,,0.0,,2003,8.610865667278873,3.6857495611050086,4.9344739331306915
The Woman in Red,False,"['Comedy', 'Romance']",en,19.38,1984-08-15,87.0,458.0,"['Gene Wilder', 'Charles Grodin', 'Joseph Bologna', 'Judith Ivey']",Unknown,"['adultery', 'infidelity', 'san francisco, california', 'obsession', 'based on movie', 'advertising executive', 'red dress']",6.2,0.0,,0.0,,1984,6.129050210060545,3.0145540277945786,4.477336814478207
Yu-Gi-Oh!: Bonds Beyond Time,False,"['Animation', 'Fantasy']",ja,22.505,2010-01-23,50.0,113.0,"['Atsushi Tamura', 'KENN', 'Shunsuke Kazama', 'Yuya Miyashita']",Unknown,"['monster', 'card game', 'time travel', 'duel', 'anime', 'trading card game', 'yu-gi-oh']",6.3,0.0,,0.0,,2010,4.736198448394496,3.1572131644760937,3.9318256327243257
Crazy Desire,False,"['Romance', 'Comedy', 'Drama']",it,23.651,1962-03-15,110.0,32.0,"['Ugo Tognazzi', 'Catherine Spaak', 'Gianni Garko', 'Franco Giacobini']",Unknown,['older man younger woman relationship'],6.6,0.0,,0.0,,1962,3.4965075614664802,3.2048174676171604,4.709530201312334
The Addams Family,False,"['Comedy', 'Fantasy']",en,34.961,1991-11-22,102.0,4250.0,"['Raúl Juliá', 'Anjelica Huston', 'Christopher Lloyd', 'Christina Ricci']",Unknown,"['dancing', 'dead wish', 'secret passage', 'fencing', 'black humor', 'uncle', 'eccentric', 'mansion', 'macabre', 'loan shark', 'accountant', 'creepy', 'disembodied hand', 'long lost sibling']",7.0,0.0,,0.0,,1991,8.35490952835879,3.5824350178930726,4.634728988229636
Legend of the Red Dragon,False,"['Action', 'Comedy', 'Adventure']",cn,16.125,1994-02-05,95.0,131.0,"['Jet Li', 'Chingmy Yau', 'Tse Miu', 'Damian Lau']",Unknown,"['kung fu', 'shaolin', 'shaolin kung fu', 'shaolin monk']",6.9,0.0,,0.0,,1994,4.882801922586371,2.840539384148289,4.564348191467836
Lord of War,False,"['Crime', 'Drama', 'Thriller']",en,50.081,2005-09-16,122.0,4448.0,"['Nicolas Cage', 'Bridget Moynahan', 'Jared Leto', 'Ethan Hawke']",Unknown,"['hotel', 'new york city', 'civil war', 'dictator', 'cold war', 'drug addiction', 'cocaine', 'warlord', 'car bomb', 'arms dealer', 'based on true story', 'interpol', 'prostitution', 'liberia']",7.3,0.0,,0.0,,2005,8.400434630806041,3.9334126081066167,4.812184355372417
The Golden Child,False,"['Action', 'Adventure', 'Comedy']",en,16.843,1986-12-12,94.0,1000.0,"['Eddie Murphy', 'Charles Dance', 'Charlotte Lewis', 'J.L. Reate']",Unknown,"['buddhism', 'ritual', 'social worker', 'monk', 'anti hero', 'mystic', 'wretch', 'tibet', 'pocket knife', 'demon', 'evil', 'missing person', 'dark fantasy', 'reluctant hero', 'mysticism']",5.9,0.0,,0.0,,1986,6.90875477931522,2.8816112744492917,4.553876891600541
Hercules,False,"['Action', 'Adventure', 'Fantasy']",en,14.068,1983-08-12,98.0,93.0,"['Lou Ferrigno', 'Sybil Danning', 'Brad Harris', 'Rossana Podestà']",Unknown,"['greek mythology', 'sword fight', 'hercules', 'roman mythology']",5.0,0.0,,0.0,,1983,4.543294782270004,2.7125732898297947,4.59511985013459
Wild Card,False,"['Thriller', 'Crime', 'Action']",en,36.127,2015-01-14,92.0,1657.0,"['Jason Statham', 'Michael Angarano', 'Dominik Garcia', 'Milo Ventimiglia']",Unknown,"['gambling', 'bodyguard', 'remake', 'las vegas']",5.6,0.0,,0.0,,2015,7.4133673356952405,3.614344467725689,4.532599493153256
The Night of the Generals,False,"['Crime', 'Mystery', 'Thriller', 'War']",en,13.797,1967-01-29,148.0,146.0,"[""Peter O'Toole"", 'Omar Sharif', 'Tom Courtenay', 'Donald Pleasence']",Unknown,"['prostitute', 'general', 'world war ii', 'investigation', 'flashback', 'murder', 'conspiracy', 'nazi occupation', '1940s', '1960s', 'warsaw, poland', 'adolf hitler']",6.8,0.0,,0.0,,1967,4.990432586778736,2.6944244575203973,5.003946305945459
Sense and Sensibility,False,"['Drama', 'Romance']",en,17.224,1995-12-13,136.0,1571.0,"['Emma Thompson', 'Kate Winslet', 'Alan Rickman', 'Hugh Grant']",Unknown,"['secret love', 'london, england', 'based on novel or book', 'widow', 'military officer', 'servant', 'country life', 'pneumonia', 'inheritance', 'period drama', 'english countryside', 'rainstorm', 'decorum', 'horse carriage', 'young love', 'dowry', '19th century', 'penniless', 'social elite', 'bloodletting', 'free spirited', 'sussex', '1800s', 'sisters love', 'social classes', 'marry for money', 'secret engagement', 'devonshire, england']",7.4,0.0,,0.0,,1995,7.360103972989152,2.902739406704826,4.919980925828125
Waterworld,False,"['Adventure', 'Action', 'Science Fiction']",en,20.209,1995-07-28,135.0,3438.0,"['Kevin Costner', 'Dennis Hopper', 'Jeanne Tripplehorn', 'Tina Majorino']",Unknown,"['sailboat', 'tattoo', 'based on novel or book', 'diving', 'ocean', 'mutant', 'post-apocalyptic future', 'pirate', 'oil tanker', 'environmental disaster', 'reluctant hero']",6.2,0.0,,0.0,,1995,8.142936010432265,3.0544256198932094,4.912654885736052
The Catcher Was a Spy,False,"['Drama', 'War', 'Thriller']",en,13.35,2018-06-22,94.0,268.0,"['Paul Rudd', 'Mark Strong', 'Sienna Miller', 'Connie Nielsen']",Unknown,"['based on novel or book', 'espionage', 'spy', 'baseball', 'world war ii', 'biography', 'based on true story', 'lgbt', 'oss (office of strategic services)', 'closeted homosexual', 'gay theme']",6.2,0.0,,0.0,,2018,5.594711379601839,2.66374994220563,4.553876891600541
The Monkey King,False,"['Action', 'Adventure', 'Family', 'Fantasy']",zh,16.567,2014-01-09,119.0,200.0,"['Donnie Yen', 'Aaron Kwok', 'Joe Chen', 'Chow Yun-fat']",Unknown,"['based on novel or book', 'religion', 'journey to the west']",5.6,0.0,,0.0,,2014,5.303304908059076,2.866022142031246,4.787491742782046
The Love Bug,False,"['Comedy', 'Family', 'Fantasy']",en,16.271,1968-12-23,107.0,542.0,"['Dean Jones', 'Michele Lee', 'David Tomlinson', 'Buddy Hackett']",Unknown,"['car race', 'sports', 'san francisco, california', 'suicide attempt', 'golden gate bridge', 'race car driver', 'bug', 'car trouble', 'based on short story', 'volkswagen beetle', 'dual role', 'ghost town', 'animate car', 'smart car', 'entrepreneur', 'toll booth', 'the love bug', 'grand prix']",6.5,0.0,,0.0,,1968,6.297109319933935,2.8490287943617822,4.68213122712422
Money Talks,False,"['Comedy', 'Action', 'Crime']",en,13.83,1997-08-22,97.0,348.0,"['Chris Tucker', 'Charlie Sheen', 'Heather Locklear', 'Elise Neal']",Unknown,"['prison', 'diamond', 'liberation of prisoners', 'transport of prisoners', 'interview', 'arrest']",6.0,0.0,,0.0,,1997,5.855071922202427,2.696652156149841,4.584967478670572
A Vampire in the Family,False,['Comedy'],pt,34.483,2023-12-23,90.0,72.0,"['Leandro Hassum', 'Rômulo Arantes Neto', 'Monique Alfradique', 'Mel Maia']",Unknown,[],5.4,0.0,,0.0,,2023,4.290459441148391,3.5690537085455256,4.51085950651685
The Legend of the Black Charro,False,"['Animation', 'Fantasy', 'Action', 'Family', 'Horror']",es,13.546,2018-01-19,85.0,155.0,"['Benny Emmanuel', 'Annie Rojas', 'Emilio Treviño', 'Mayté Cordero']",Unknown,[],8.1,0.0,,0.0,,2018,5.049856007249537,2.677316041732349,4.454347296253507
Father Goose,False,"['Adventure', 'Comedy', 'Romance']",en,14.743,1964-12-10,118.0,155.0,"['Cary Grant', 'Leslie Caron', 'Trevor Howard', 'Sharyl Locke']",Unknown,"['island', 'airplane', 'south seas', 'coast watcher']",7.0,0.0,,0.0,,1964,5.049856007249537,2.756395822032492,4.77912349311153
Escape to Victory,False,"['Drama', 'War']",en,16.725,1981-06-17,116.0,846.0,"['Sylvester Stallone', 'Michael Caine', 'Max von Sydow', 'Pelé']",Unknown,"['nazi', 'escape', 'sports', 'football (soccer)']",6.9,0.0,,0.0,,1981,6.741700694652055,2.874976072418191,4.762173934797756
Assassins,False,"['Action', 'Adventure', 'Crime', 'Thriller']",en,19.261,1995-10-06,132.0,1461.0,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov']",Unknown,"['rescue', 'cia', 'hitman', 'cat', 'bank', 'mexican standoff', 'seattle, washington', 'mission of murder', 'hidden camera', 'rivalry', 'shootout', 'police chase', 'sniper rifle', 'detroit, michigan', 'silencer', 'double cross', 'caribbean sea']",6.5,0.0,,0.0,,1995,7.2875606403097235,3.008697855944014,4.890349128221754
The Comancheros,False,"['Romance', 'Western', 'Action', 'Adventure']",en,18.511,1961-12-22,105.0,178.0,"['John Wayne', 'Stuart Whitman', 'Ina Balin', 'Nehemiah Persoff']",Unknown,"['texas ranger', 'renegade', 'gambler']",6.7,0.0,,0.0,,1961,5.187385805840755,2.9709784090877616,4.663439094112067
28 Days,False,"['Comedy', 'Drama']",en,25.215,2000-04-06,103.0,925.0,"['Sandra Bullock', 'Viggo Mortensen', 'Dominic West', 'Elizabeth Perkins']",Unknown,"['drug addiction', 'car crash', 'alcoholism', 'drug rehabilitation', 'wedding', 'withdrawal', 'sobriety', 'woman director']",6.1,0.0,,0.0,,2000,6.8308742346461795,3.266331766024496,4.6443908991413725
Love & Sex,False,"['Comedy', 'Drama', 'Romance']",en,19.348,2000-07-26,82.0,118.0,"['Famke Janssen', 'Jon Favreau', 'Noah Emmerich', 'Ann Magnuson']",Unknown,['woman director'],6.1,0.0,,0.0,,2000,4.77912349311153,3.0129826269605187,4.418840607796598
My Spy,False,"['Family', 'Action', 'Comedy']",en,13.334,2020-01-09,99.0,1059.0,"['Dave Bautista', 'Chloe Coleman', 'Parisa Fitz-Henley', 'Kristen Schaal']",Unknown,['spy'],6.9,0.0,,0.0,,2020,6.966024187106113,2.6626343375717276,4.605170185988092
The Eagle,False,"['Adventure', 'Drama']",en,15.959,2011-02-08,114.0,1219.0,"['Channing Tatum', 'Mark Strong', 'Jamie Bell', 'Donald Sutherland']",Unknown,"['roman empire', 'scotland', 'slavery', 'eagle', 'ancient rome', 'honor', 'disappearance', 'ancient world', 'britain', 'slave', 'scottish highlands', '2nd century', 'hadrian’s wall']",6.2,0.0,,0.0,,2011,7.106606137727303,2.830798666361263,4.74493212836325
Serenity,False,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",en,24.872,2005-09-25,119.0,3290.0,"['Nathan Fillion', 'Summer Glau', 'Gina Torres', 'Alan Tudyk']",Unknown,"['spacecraft', 'martial arts', 'telepathy', 'dystopia', 'fugitive', 'space western', 'planet', 'cannibal', 'space opera', 'operative', 'ex soldier', 'firefly', 'browncoat']",7.4,0.0,,0.0,,2005,8.098946748943339,3.253161302834751,4.787491742782046
A Lot Like Love,False,"['Comedy', 'Drama', 'Romance']",en,13.76,2005-04-21,107.0,1212.0,"['Ashton Kutcher', 'Amanda Peet', 'Kathryn Hahn', 'Kal Penn']",Unknown,"['career', 'new york city', 'shyness', 'romantic comedy', 'flight', 'travel', 'los angeles, california']",6.8,0.0,,0.0,,2005,7.10085190894405,2.6919208191723265,4.68213122712422
Black Water,False,"['Action', 'Thriller']",en,16.305,2018-05-18,105.0,235.0,"['Jean-Claude Van Damme', 'Dolph Lundgren', 'Patrick Kilpatrick', 'Al Sapienza']",Unknown,"['martial arts', 'cia', 'submarine', 'operative', 'deep cover', 'black site']",5.6,0.0,,0.0,,2018,5.4638318050256105,2.8509954770873076,4.663439094112067
Belle and Sebastian: Next Generation,False,"['Adventure', 'Family', 'Drama']",fr,20.257,2022-10-19,96.0,28.0,"['Robinson Mensah-Rouanet', 'Caroline Anglade', 'Alice David', 'Michèle Laroque']",Unknown,"['human animal relationship', 'boy and dog', 'animal human friendship', 'mountains']",5.6,0.0,,0.0,,2022,3.367295829986474,3.0566862528909886,4.574710978503383
Girl Friday,False,['Drama'],tl,13.571,2022-09-30,92.0,7.0,"['Angeli Khang', 'Jela Cuenca', 'Jay Manalo', 'Stephanie Raz']",Unknown,[],5.7,0.0,,0.0,,2022,2.0794415416798357,2.6790332520317173,4.532599493153256
Boxing Helena,False,"['Drama', 'Romance', 'Thriller']",en,13.778,1993-03-22,107.0,212.0,"['Julian Sands', 'Sherilyn Fenn', 'Bill Paxton', 'Art Garfunkel']",Unknown,"['dream', 'kidnapping', 'obsession', 'unrequited love', 'doctor', 'car accident', 'obsessive love', 'woman director', 'captivity']",5.1,0.0,,0.0,,1993,5.3612921657094255,2.693139588366456,4.68213122712422
