title,adult,genres,original_language,popularity,runtime,vote_average,vote_count,actors,director,keywords,release_year
The Boy and the Heron,False,"['Animation', 'Adventure', 'Fantasy']",ja,501.597,124,7.465,871,"['Soma Santoki', 'Masaki Suda', 'Ko Shibasaki', 'Yoshino Kimura']",['Hayao Miyazaki'],"['based on novel or book', 'loss of loved one', 'world war ii', 'education', 'bullying', 'coming of age', 'spirituality', 'poverty', 'teenage boy', 'troubled childhood', 'moving to a city', 'anime', 'hand drawn animation', 'magic world', 'courage']",2023
Poor Things,False,"['Science Fiction', 'Romance', 'Comedy']",en,494.869,141,8.178,618,"['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef']",['Yorgos Lanthimos'],"['based on novel or book', 'obsession', 'crooked lawyer', 'love', 'domestic abuse', 'female protagonist', 'doctor', 'prostitution', 'cruelty', 'scientist', 'disfigured face', 'exploring sexuality', 'female empowerment', 'female sexuality', 'brain transplant', 'absurdism', 'spousal abuse', ""women's liberation"", 'victorian era', 'frankenstein', 'body horror']",2023
Oppenheimer,False,"['Drama', 'History']",en,463.169,181,8.114,6461,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.']",['Christopher Nolan'],"['husband wife relationship', 'based on novel or book', 'politics', 'atomic bomb', 'professor', 'patriotism', 'new mexico', 'world war ii', 'hallucination', 'atomic bomb test', 'surrealism', 'physics', 'biography', 'berkeley', 'based on true story', 'physicist', 'jewish american', 'interrogation', 'guilt', 'nonlinear timeline', 'historical event', 'nuclear weapons', 'communism', 'red scare', 'mccarthyism', 'top secret project', 'moral dilemma', 'usa politics', '1940s', 'ethics', 'quantum physics', 'antisemitism', 'apocalyptic vision', 'new mexico desert', 'male protagonist', '20th century', 'manhattan project', 'affair', 'los alamos', 'hiroshima and nagasaki bombings']",2023
Due Justice,False,"['Crime', 'Thriller', 'Action']",en,445.866,98,7.143,7,"['Kellan Lutz', 'William Forsythe', 'Jeff Fahey', 'Efren Ramirez']",['Javier Reyna'],"['crime boss', 'vigilante', 'crime syndicate', 'murder of family', 'vengeance', 'revenge thriller', 'vigilante justice', 'organ trafficking', 'attorney', 'abducted daughter']",2023
The OctoGames,False,"['Thriller', 'Action', 'Horror']",en,443.902,88,5.911,56,"['Lacy Hartselle', 'Cale Adcock', 'Luv Patel', 'Henry Haggard']",['Aaron Mirtes'],"['遊戲', '挑戰極限', '組團打怪']",2022
Badland Hunters,False,"['Action', 'Science Fiction', 'Drama']",ko,443.734,109,6.869,88,"['Ma Dong-seok', 'Lee Hee-jun', 'Lee Jun-young', 'Roh Jeong-eui']",['Heo Myeong-haeng'],"['post-apocalyptic future', 'earthquake', 'badlands', 'based on webcomic or webtoon', 'seoul, south korea']",2024
Deep Fear,False,"['Action', 'Mystery', 'Thriller', 'Horror']",en,438.565,84,5.917,103,"['Mãdãlina Ghenea', 'Ed Westwick', 'Macarena Gómez', 'Stany Coppet']",['Marcus Adams'],['shark'],2023
All Fun and Games,False,"['Horror', 'Thriller']",en,437.959,77,5.8,64,"['Asa Butterfield', 'Natalia Dyer', 'Benjamin Evan Ainsworth', 'Laurel Marsden']",['Eren Celeboglu'],"['salem, massachusetts', 'deadly game', 'cursed object', 'salem witch']",2023
Monsters 103 Mercies Dragon Damnation,False,"['Animation', 'Action', 'Fantasy', 'Adventure']",ja,426.947,26,8.378,37,"['Yoshimasa Hosoya', 'Kana Hanazawa', 'Hiroki Touchi', 'Mitsuaki Madono']",['Sunghoo Park'],"['based on manga', 'anime']",2024
The Family Plan,False,"['Action', 'Comedy']",en,421.368,119,7.366,825,"['Mark Wahlberg', 'Michelle Monaghan', 'Maggie Q', 'Zoe Colletti']",['Simon Cellan Jones'],"['assassin', 'las vegas', 'family', 'duringcreditsstinger', 'hidden identity', 'family trip', 'roadtrip', 'former soldier', 'father and son']",2023
Fast X,False,"['Action', 'Crime', 'Thriller']",en,380.186,142,7.161,4786,"['Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris']",['Louis Leterrier'],"['sequel', 'revenge', 'betrayal', 'racing', 'family', 'cliffhanger', 'cars']",2023
The Painter,False,"['Action', 'Thriller']",en,370.9,100,7.209,43,"['Charlie Weber', 'Jon Voight', 'Madison Bailey', 'Max Montesi']",['Kimani Ray Smith'],"['killer', 'mysterious woman', 'black ops', 'ex-cia agent']",2024
Granit,False,"['Action', 'War']",ru,360.245,100,7.125,24,"['Aleksandr Baranovskiy', 'Oleg Chernov', 'Mark Gavrilov', 'Evgeny Dobryakov']",['Denis Neimand'],[],2021
The Resort,False,['Horror'],en,353.605,75,4.476,103,"['Bianca Haase', ""Brock O'Hurn"", 'Michael Vlamis', 'Michelle Randolph']",['Taylor Chien'],"['helicopter', 'hawaii', 'haunting', 'waterfall', 'resort', 'security guard', 'tropical island', 'ghost', 'told in flashback']",2021
One More Shot,False,"['Action', 'Thriller']",en,352.071,102,6.818,85,"['Scott Adkins', 'Michael Jai White', 'Alexis Knapp', 'Meena Rayann']",['James Nunn'],[],2024
Killers of the Flower Moon,False,"['Crime', 'History', 'Drama']",en,349.281,206,7.533,2184,"['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons']",['Martin Scorsese'],"['husband wife relationship', 'based on novel or book', 'war veteran', 'fbi', 'greed', 'oklahoma', 'manipulation', 'native american', 'based on true story', 'murder', 'racism', 'series of murders', 'genocide', 'period drama', 'courtroom', 'guilt', 'true crime', 'oil industry', 'death of sister', 'catholicism', 'uncle nephew relationship', 'catholic guilt', 'hopeless', '1920s', 'osage indian', 'gullibility', 'poisoning', 'diabetes', 'anxious', 'revisionist western', 'meta', 'male protagonist', 'western', 'shot on film', 'gloomy']",2023
The Hunger Games: The Ballad of Songbirds & Snakes,False,"['Drama', 'Science Fiction', 'Action']",en,347.215,157,7.223,1620,"['Tom Blyth', 'Rachel Zegler', 'Peter Dinklage', 'Jason Schwartzman']",['Francis Lawrence'],"['daughter', 'based on novel or book', 'arena', 'fight', 'mentor', 'dystopia', 'riot', 'exploration', 'president', 'prequel', 'survival', 'murder', 'snow', 'creature', 'battle', 'spin off', 'fight to the death', 'young adult', 'origin story', 'based on young adult novel', 'death game', 'teenager']",2023
Barbie,False,"['Comedy', 'Adventure', 'Fantasy']",en,334.145,114,7.1,7156,"['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Kate McKinnon']",['Greta Gerwig'],"['feminism', 'satire', 'patriarchy', 'based on toy', 'female protagonist', 'doll', 'fantasy world', 'motherhood', 'existentialism', 'woman director', 'mother daughter relationship', 'gender discrimination', 'barbie', 'secret world']",2023
Weekend Warriors,False,"['Action', 'Thriller']",en,329.816,93,8.133,15,"['Corbin Bernsen', 'Jason London', 'Jason Michael Carroll', 'Jack Gross']",['Ritchie Greer'],[],2021
Mírame,False,['Horror'],es,318.157,96,6.983,59,"['Axel Alpuche', 'Regina Reynoso', 'Darío T. Pie', 'Leticia Huijara']",['Pavel Cantú'],"['family secrets', 'murder', 'swimmer', 'ghost', 'xochimilco', 'haunted']",2021
Justice League: Crisis on Infinite Earths Part One,False,"['Animation', 'Science Fiction', 'Action']",en,307.116,93,7.68,142,"['Matt Bomer', 'Jensen Ackles', 'Darren Criss', 'Meg Donnelly']",['Jeff Wamester'],"['superhero', 'villain', 'end of the world', 'based on graphic novel', 'superhero team', 'parallel universe', 'dcamu (tomorrowverse)']",2024
Trolls Band Together,False,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']",en,299.141,91,7.2,587,"['Anna Kendrick', 'Justin Timberlake', 'Camila Cabello', 'Eric André']",['Walt Dohrn'],"['pop star', 'brother', 'musical', 'sequel', 'based on toy', 'troll', 'duringcreditsstinger', 'reunite', 'sister sister relationship', 'brother brother relationship', 'jukebox musical']",2023
John Wick: Chapter 4,False,"['Action', 'Thriller', 'Crime']",en,298.326,170,7.754,5493,"['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård', 'Ian McShane']",['Chad Stahelski'],"['new york city', 'martial arts', 'hitman', 'sequel', 'organized crime', 'osaka, japan', 'blindness', 'aftercreditsstinger', 'hunted', 'consequences', 'professional assassin', 'neo-noir', 'male protagonist', 'berlin']",2023
Freelance,False,"['Action', 'Comedy']",en,295.697,108,6.549,496,"['John Cena', 'Alison Brie', 'Juan Pablo Raba', 'Alice Eve']",['Pierre Morel'],"[""coup d'etat"", 'dictatorship', 'political assassination', 'duringcreditsstinger', 'investigative journalism', 'ex special forces', 'fictional city']",2023
Sunrise,False,"['Horror', 'Thriller']",en,295.452,84,8.192,13,"['Guy Pearce', 'Alex Pettyfer', 'Olwen Fouéré', 'Crystal Yu']",['Andrew Baird'],"['ex-cop', 'rural town']",2024
Transformers: Rise of the Beasts,False,"['Action', 'Adventure', 'Science Fiction']",en,294.011,127,7.379,3943,"['Anthony Ramos', 'Dominique Fishback', 'Peter Cullen', 'Ron Perlman']",['Steven Caple Jr.'],"['peru', 'alien', 'end of the world', 'based on toy', 'robot', 'duringcreditsstinger', '1990s', 'brother brother relationship', 'transformers']",2023
Godzilla Minus One,False,"['Science Fiction', 'Horror', 'Action']",ja,293.947,125,7.9,377,"['Ryunosuke Kamiki', 'Hidetaka Yoshioka', 'Minami Hamabe', 'Kuranosuke Sasaki']",['Takashi Yamazaki'],"['monster', 'loss of loved one', 'giant monster', 'kamikaze', 'duty', 'atomic bomb test', 'radioactivity', 'naval combat', 'reboot', 'kaiju', 'duringcreditsstinger', 'post war japan', '1940s', 'naval battle', 'naval battleship', 'found family', 'godzilla', 'war orphan', 'survivor guilt']",2023
Silent Night,False,"['Action', 'Adventure', 'Thriller']",en,293.759,104,6.176,364,"['Joel Kinnaman', 'Kid Cudi', 'Harold Torres', 'Catalina Sandino Moreno']",['John Woo'],"['holiday', 'revenge', 'death of son', 'christmas', 'no dialogue']",2023
Thanksgiving,False,"['Horror', 'Mystery', 'Thriller']",en,292.843,106,6.695,595,"['Patrick Dempsey', 'Nell Verlaque', 'Addison Rae', 'Ty Olsson']",['Eli Roth'],"['small town', 'sadism', 'holiday', 'massachusetts', 'thanksgiving', 'dark comedy', 'riot', 'plymouth', 'murder', 'serial killer', 'consumerism', 'slasher', 'whodunit', 'aftercreditsstinger', 'murder spree', 'teenage killer', 'black friday', 'based on short film', 'holidays', 'revenge slasher', 'stalked by a killer', 'revenge horror', 'masked killer', 'teen slasher', 'holiday horror']",2023
Rebel Moon - Part One: A Child of Fire,False,"['Science Fiction', 'Drama', 'Action']",en,292.002,134,6.421,1343,"['Sofia Boutella', 'Michiel Huisman', 'Ed Skrein', 'Djimon Hounsou']",['Zack Snyder'],"['space war', 'space', 'space opera', 'space adventure', 'action hero', 'alien spaceship', 'super hero girls', 'space vessel']",2023
Spider-Man: Across the Spider-Verse,False,"['Animation', 'Action', 'Adventure', 'Science Fiction']",en,289.679,140,8.374,5647,"['Shameik Moore', 'Hailee Steinfeld', 'Jason Schwartzman', 'Oscar Isaac']",['Joaquim Dos Santos'],"['new york city', 'sacrifice', 'superhero', 'comic book', 'based on comic', 'sequel', 'romance', 'alternate dimension', 'india', 'alternate version', 'super power', 'brooklyn, new york city', 'superhero team', 'spider bite', 'super villain', 'cliffhanger', 'teen superhero', 'chelsea', 'alternate universe', 'teen romance', 'female superhero', 'slow burn romance', 'interdimensional travel', 'defying fate']",2023
The Super Mario Bros. Movie,False,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",en,277.627,93,7.695,7928,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black']",['Michael Jelenic'],"['gorilla', 'plumber', 'anthropomorphism', 'magic mushroom', 'based on video game', 'toad', 'aftercreditsstinger', 'duringcreditsstinger', 'damsel in distress', 'piano', 'brother brother relationship', 'evil king', 'mario']",2023
Avatar: The Way of Water,False,"['Science Fiction', 'Adventure', 'Action']",en,272.893,192,7.638,10728,"['Sam Worthington', 'Zoe Saldaña', 'Sigourney Weaver', 'Stephen Lang']",['James Cameron'],"['dying and death', 'loss of loved one', 'alien life-form', 'resurrection', 'dysfunctional family', 'sequel', 'alien planet', 'distant future', 'adopted child', 'rebirth', 'family dynamics', 'adopted son', 'stronger villain', 'war']",2022
The Bricklayer,False,"['Action', 'Thriller']",en,267.493,110,6.115,74,"['Aaron Eckhart', 'Nina Dobrev', 'Clifton Collins Jr.', 'Tim Blake Nelson']",['Renny Harlin'],"['blackmail', 'conspiracy', 'ex-cia agent', 'journalist killed']",2023
Expend4bles,False,"['Action', 'Adventure', 'Thriller']",en,266.347,103,6.405,1072,"['Jason Statham', 'Sylvester Stallone', '50 Cent', 'Megan Fox']",['Scott Waugh'],"['sequel', 'nuclear bomb', 'cargo ship', 'ring']",2023
Ox-Head Village,False,"['Horror', 'Drama']",ja,265.979,115,5.208,24,"['Kōki', 'Riku Hagiwara', 'Fumiya Takahashi', 'Haruka Imou']",['Takashi Shimizu'],"['missing person', 'japanese folklore']",2022
My Fault,False,"['Drama', 'Romance']",es,263.931,117,8.037,2197,"['Nicole Wallace', 'Gabriel Guevara', 'Marta Hazas', 'Iván Sánchez']",['Domingo González'],"['stepbrother', 'female protagonist', 'stepsister', 'rise', 'enemies to lovers', 'passion and romance', 'car']",2023
Sound of Freedom,False,"['Action', 'Drama']",en,263.759,131,8.058,1870,"['Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Gerardo Taracena']",['Alejandro Gómez Monteverde'],"['pedophilia', 'kidnapping', 'human trafficking', 'based on true story', 'scam', 'child kidnapping', 'grooming', 'lost children', 'children in danger', 'colombia']",2023
Leo,False,"['Animation', 'Comedy', 'Family']",en,262.138,102,7.538,892,"['Adam Sandler', 'Bill Burr', 'Cecily Strong', 'Jason Alexander']",['Robert Smigel'],"['classroom', 'musical', 'bucket list']",2023
When Evil Lurks,False,"['Horror', 'Thriller']",es,260.075,99,7.367,483,"['Ezequiel Rodríguez', 'Demián Salomón', 'Silvina Sabater', 'Virginia Garófalo']",['Demián Rugna'],"['farm', 'small town', 'shotgun', 'village', 'possession', 'gore', 'goat', 'demon', 'police officer', 'dog', 'ex-wife', 'evil', 'brother brother relationship', 'brutal violence']",2023
Five Nights at Freddy's,False,"['Horror', 'Mystery']",en,259.863,110,7.719,3276,"['Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard']",['Emma Tammi'],"['night shift', 'child murder', 'restaurant', 'custody battle', 'child in peril', 'orphan', 'security guard', 'based on video game', 'duringcreditsstinger', 'troubled past', 'child neglect', 'animatronic', 'abandoned building', 'brother sister relationship', 'ghost child', 'child abduction']",2023
Dead for a Dollar,False,"['Western', 'Thriller', 'Action']",en,259.808,106,5.893,206,"['Christoph Waltz', 'Willem Dafoe', 'Rachel Brosnahan', 'Hamish Linklater']",['Walter Hill'],[],2022
El padrino: The Latin Godfather,False,"['Action', 'Crime', 'Drama']",en,259.766,128,6.756,39,"['Damian Chapa', 'Sal Lopez', 'Emilio Rivera', 'Jennifer Tilly']",['Damian Chapa'],[],2004
Mission: Impossible - Dead Reckoning Part One,False,"['Action', 'Thriller']",en,255.722,164,7.576,2979,"['Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg']",['Christopher McQuarrie'],"['race against time', 'mission', 'rome, italy', 'chase', 'secret mission', 'secret agent', 'sequel', 'intelligence agency', 'rogue agent', 'based on tv series', 'secret government agency', 'northern norway']",2023
Acid,False,"['Drama', 'Fantasy']",fr,253.89,99,5.842,76,"['Guillaume Canet', 'Laetitia Dosch', 'Patience Munchenbach', 'Felicia Talluto']",['Just Philippot'],[],2023
Night Swim,False,"['Horror', 'Thriller']",en,250.904,98,6.003,160,"['Wyatt Russell', 'Kerry Condon', 'Amélie Hoeferle', 'Gavin Warren']",['Bryce McGuire'],"['supernatural', 'swimming pool', 'evil spirit', 'teenage girl', 'real estate agent', '1990s', 'pool party', 'pool', '2000s', 'supernatural horror', 'based on short film', 'night swimming', 'horror']",2024
My Grandpa is an Alien,False,"['Adventure', 'Family', 'Science Fiction']",hr,244.579,79,7.2,22,"['Lana Hranjec', 'Ozren Grabarić', 'Nils Ole Oftebro', 'Petra Polnišová']",['Dražen Žarković'],['woman director'],2019
Wired Shut,False,"['Horror', 'Thriller']",en,227.939,95,5.1,20,"['Blake Stadel', 'Natalie Sharp', 'Behtash Fazlali']",['Alexander Sharp'],[],2021
Pantasya ni Tami,False,"['Drama', 'Romance']",tl,226.631,114,0.0,0,"['Azi Acosta', 'Ali Asistio', 'Jiad Arroyo', 'Shiena Yu']",['Topel Lee'],['sexy'],2024
Grey Eyes,False,"['Action', 'Science Fiction']",es,225.099,100,5.6,7,"['William Prociuk', 'Fernando Amaral', 'Cecilia Milano', 'Christian Zagia']",['Santiago Ventura'],"['drug addiction', 'archer', 'drug use', 'female protagonist', 'color blindness']",2018
Elemental,False,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Adventure']",en,223.064,102,7.68,3590,"['Leah Lewis', 'Mamoudou Athie', 'Shila Ommi', 'Wendi McLendon-Covey']",['Peter Sohn'],"['fire', 'computer animation', 'duringcreditsstinger', 'elements', 'water', 'city']",2023
The Creator,False,"['Action', 'Adventure', 'Science Fiction']",en,221.949,134,7.137,2075,"['John David Washington', 'Madeleine Yuna Voyles', 'Gemma Chan', 'Allison Janney']",['Gareth Edwards'],"['artificial intelligence (a.i.)', 'asia', 'distant future', 'space station', 'child', 'ex special forces', 'missing wife', 'robots', 'war against machines']",2023
El Padrino II: Border Intrusion,False,['Crime'],en,221.777,0,6.25,4,"['Damian Chapa', 'Jeff McCredie', 'Konstantine Antoniou', 'Anthony Berber']",['Damian Chapa'],[],2008
Meg 2: The Trench,False,"['Action', 'Science Fiction', 'Horror']",en,221.248,116,6.658,2870,"['Jason Statham', 'Wu Jing', 'Shuya Sophia Cai', 'Page Kennedy']",['Ben Wheatley'],"['based on novel or book', 'sequel', 'shark', 'kaiju', 'civil action', 'oceans', 'shark cage']",2023
Talk to Me,False,"['Horror', 'Thriller']",en,221.068,95,7.209,2224,"['Sophie Wilde', 'Alexandra Jensen', 'Joe Bird', 'Otis Dhanji']",['Michael Philippou'],"['suicide', 'trauma', 'possession', 'female friendship', 'addiction', 'grief', 'female protagonist', 'death of mother', 'self mutilation', 'mental health', 'dead parent', 'social media', 'peer pressure', 'disembodied hand', 'generation z', 'self-harm', 'supernatural horror', 'cautionary tale', 'adelaide australia', 'body horror', 'graphic violence', 'teenager', 'modern australia']",2023
maboroshi,False,"['Animation', 'Drama', 'Romance', 'Fantasy']",ja,213.029,112,8.0,41,"['Junya Enoki', 'Reina Ueda', 'Misaki Kuno', 'Koji Seto']",['Mari Okada'],"['small town', 'love', 'time freeze\xa0', 'anime', 'uncertainty']",2023
Foxtrot Six,False,"['Action', 'Science Fiction']",en,210.299,114,6.457,35,"['Oka Antara', 'Rio Dewanto', 'Verdi Solaiman', 'Mike Lewis']",['Randy Korompis'],[],2019
Ferrari,False,"['Drama', 'History']",en,205.642,131,6.7,264,"['Adam Driver', 'Penélope Cruz', 'Shailene Woodley', 'Patrick Dempsey']",['Michael Mann'],"['husband wife relationship', 'biography', 'based on true story', 'racing', '1950s', 'cars', 'ferrari']",2023
The Equalizer 3,False,"['Action', 'Thriller', 'Crime']",en,202.006,109,7.415,2175,"['Denzel Washington', 'Dakota Fanning', 'Eugenio Mastrandrea', 'David Denman']",['Antoine Fuqua'],"['italy', 'vigilante justice', 'italian mafia']",2023
Next Goal Wins,False,"['Comedy', 'Drama']",en,198.722,104,6.5,143,"['Michael Fassbender', 'Oscar Kightley', 'Kaimana', 'David Fane']",['Taika Waititi'],"['world cup', 'based on true story', 'coach', 'football (soccer)', 'aftercreditsstinger', 'indigenous community', 'transphobia', 'transgender']",2023
Argylle,False,"['Comedy', 'Action', 'Crime']",en,195.447,139,7.938,8,"['Henry Cavill', 'Bryce Dallas Howard', 'Sam Rockwell', 'Bryan Cranston']",['Matthew Vaughn'],"['cat', 'spy', 'secret agent', 'author', 'novelist', 'secrets']",2024
The Flash,False,"['Action', 'Adventure', 'Science Fiction']",en,193.361,144,6.788,3536,"['Ezra Miller', 'Sasha Calle', 'Michael Keaton', 'Michael Shannon']",['Andy Muschietti'],"['hero', 'secret identity', 'superhero', 'based on comic', 'superhuman', 'super power', 'aftercreditsstinger', 'butterfly effect', 'dc extended universe (dceu)', 'superhuman abilities', 'loss of mother']",2023
Harry Potter and the Philosopher's Stone,False,"['Adventure', 'Fantasy']",en,191.061,152,7.916,26032,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris']",['Chris Columbus'],"['witch', 'school friend', 'friendship', 'london, england', 'based on novel or book', 'magic', 'boarding school', 'child hero', 'school of witchcraft', 'chosen one', 'school', 'shopping', 'fantasy world', 'wizard', 'christmas', 'based on young adult novel', 'owl']",2001
Gran Turismo,False,"['Adventure', 'Action', 'Drama']",en,190.873,135,7.955,1881,"['Archie Madekwe', 'David Harbour', 'Orlando Bloom', 'Djimon Hounsou']",['Neill Blomkamp'],"['based on true story', 'racing', 'based on video game', 'duringcreditsstinger']",2023
Spider-Man: No Way Home,False,"['Action', 'Adventure', 'Science Fiction']",en,190.677,148,7.976,18928,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']",['Jon Watts'],"['new york city', 'hero', 'showdown', 'magic', 'loss of loved one', 'secret identity', 'superhero', 'villain', 'portal', 'sequel', 'vigilante', 'superhero team', 'alternate reality', 'masked vigilante', 'spider web', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'teenage hero', 'fight for justice', 'superhero teamup', 'returning hero', 'crossover', 'teamwork']",2021
Avengers: Infinity War,False,"['Adventure', 'Action', 'Science Fiction']",en,188.748,149,8.3,28364,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",['Anthony Russo'],"['sacrifice', 'magic', 'superhero', 'based on comic', 'space', 'battlefield', 'genocide', 'magical object', 'super power', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'cosmic']",2018
The Underdoggs,False,['Comedy'],en,187.135,96,6.625,16,"['Snoop Dogg', 'Tika Sumpter', 'Elias Ferguson', 'Jonigan Booth']",['Charles Stone III'],"['cannabis', 'community service']",2024
Richard the Stork and the Mystery of the Great Jewel,False,"['Animation', 'Adventure', 'Comedy', 'Family']",en,184.94,84,7.2,6,"['Jonathan Failla', 'Dulcie Smart', 'Erik Hansen', 'Mala Ghedia']",['Benjamin Quabeck'],[],2023
Shortcut,False,"['Horror', 'Adventure', 'Fantasy']",en,180.876,80,5.51,97,"['Jack Kane', 'Zanda Emlano', 'Zak Sutcliffe', 'Sophie Jane Oliver']",['Alessio Liguori'],"['monster', 'creature', 'school bus', 'tunnel', 'road', 'teenager', 'drained of blood']",2020
